species,abundance,extent,niche_breadth,range_size,habitat,abun_meas,rabin_class,mean_topo,mean_d_coast,mean_elev,num_patches,patch_isolation,occupied_area,rcp,change_driver,year,current_cells,nd_future_cells,current_km2,nd_future_km2,nd_change_prop,exposure,log10_patch_isolation,log10_num_patches,ext_res,abun_res,niche_res,nump_res,iso_res,topo_res,elev_res,dc_res,OTU,Genus,Species
Hesperoyucca whipplei,820.88984,129329.8282,4.280345267,w,b,l,w-b-l,0.516471457,45.1109216,684.5279525,1701,805.2269849,22931.4969,rcp45,climate_change,2085,199114.045725759,178890.385034538,14515.4139334078,13041.1090690178,-0.101568227482433,0.101568227482433,2.90591832060906,3.23070431361257,0.635443293720297,0.682188311019076,0.816596433300828,0.706816522837051,0.541392704040401,0.56901578440227,0.49505421338697,0.496677097042215,Hesperoyucca,Hesperoyucca,whipplei
Lepechinia calycina,211.7471939,134704.4924,3.7129382,w,r,l,w-r-l,0.522477816,74.62745481,501.8867887,191,1809.564108,24555.4173,rcp45,climate_change,2085,87635.9437419194,76197.4071354586,6388.66029878593,5554.79098017493,-0.130523345993128,0.130523345993128,3.25757397360474,2.28103336724773,-0.373543040999232,-0.235457537697927,0.0451131961343289,-0.0503639722725642,-0.224989614519654,-0.291388756051969,-0.235623274816332,-0.214872369816104,Lepechinia,Lepechinia,calycina
Juglans californica,562.4771962,136537.5811,4.035654809,w,b,l,w-b-l,0.43512433,27.54112177,337.5568438,2514,859.9544857,5480.9136,rcp45,climate_change,2085,16966.1194645855,20075.5473397102,1236.83010896828,1463.50740106488,0.183272779707534,-0.183272779707534,2.93447546620587,3.40036527334994,0.62481958406172,0.377868329656166,0.792656681187866,0.725364194151133,0.448618910319367,0.720010846012633,0.359973534021458,0.327073579189779,Juglans,Juglans,californica
Delphinium hesperium,123.2716153,138614.1509,4.591890169,w,b,s,w-b-s,0.447518202,55.97033436,566.0633223,1056,1431.788071,8118.6543,rcp45,climate_change,2085,18022.534364423,6129.62180253213,1313.84275516643,446.849429404592,-0.659891240677438,0.659891240677438,3.15587873975491,3.02366391819779,-0.33408014425173,0.138120924390442,0.0344497148606309,-0.0560735066538365,-0.0342339851813272,-0.0544316645877466,-0.0298600884283977,-0.020499222052427,Delphinium,Delphinium,hesperium
Lonicera subspicata,299.6738935,141916.2267,4.159353271,w,b,l,w-b-l,0.464587619,39.85741541,638.2972644,359,2542.768986,12068.7408,rcp45,climate_change,2085,40323.7050128228,29610.7246146811,2939.59809543478,2158.62182441025,-0.26567450572151,0.26567450572151,3.40530690572711,2.55509444857832,0.0536272620589396,0.0700216429630974,0.403361177115595,0.33601050174551,0.138416876473874,0.218838364047797,0.118821651112621,0.158700293949748,Lonicera,Lonicera,subspicata
Ribes malvaceum,329.5325618,145461.4761,3.925157199,w,r,l,w-r-l,0.513105926,21.50830922,457.0032308,625,1443.178111,9711.0819,rcp45,climate_change,2085,27359.5470417061,24167.7500594384,1994.51097934037,1761.82897933306,-0.116661177811248,0.116661177811248,3.15931993320784,2.79588001734408,-0.411268861029356,-0.349574873887383,0.029579694015772,-0.112825107683557,-0.212619025171389,-0.269377973762298,-0.225903776043411,-0.22455728931251,Ribes_Calobotrya,Ribes,malvaceum
Eryngium aristulatum,53.57100835,161626.514,6.997723717,w,b,s,w-b-s,0.216364237,58.88493213,366.9328668,19783,734.2636132,95662.5147,rcp45,climate_change,2085,351177.655039075,368198.701622823,25600.8510523486,26841.6853483038,0.0484684783883921,-0.0484684783883921,2.86585200706114,4.29629215099486,-0.38985009336927,-0.100231898778575,-0.246718946885419,-0.775263397915825,-0.197010380502095,0.302594657621366,-0.231840580233653,-0.219810587711534,Eryngium,Eryngium,aristulatum
Pinus muricata,430.195943,169793.6704,5.791769605,w,b,l,w-b-l,0.26591101,5.898503431,174.1403069,185,2051.768204,9690.3783,rcp45,climate_change,2085,42042.7382959823,46917.3611604928,3064.91562177711,3420.27562859992,0.115944466561454,-0.115944466561454,3.31212829532383,2.26717172840301,-1.32585905676929,-1.10062038992086,-0.95354194069943,-0.751296968946034,-0.848004789355895,-0.490880904043937,-0.696525485213736,-0.83705136554914,Pinus_Attenuatae,Pinus,muricata
Pickeringia montana,243.3438201,173935.7738,4.320376695,w,b,l,w-b-l,0.530878533,29.39487394,517.0546912,320,1898.827038,22118.8806,rcp45,climate_change,2085,85298.0896996364,93412.5673412481,6218.23073910349,6809.77615917698,0.0951308249714075,-0.0951308249714075,3.27848540714712,2.50514997831991,0.344130726604495,0.220566474686569,0.605434491392246,0.459943236990124,0.318333378836118,0.314594637396458,0.206839765507325,0.201615226673293,Pickeringia,Pickeringia,montana
Prunus ilicifolia,458.3144622,175447.1172,4.257662884,w,b,l,w-b-l,0.515515205,33.09996124,606.0025821,2373,901.7635824,21476.5587,rcp45,climate_change,2085,100209.515672147,86129.698546205,7305.27369249953,6278.85502401834,-0.140503793791468,0.140503793791468,2.95509269240093,3.37529773821734,0.00355992150860093,-0.0404414303920483,0.412741600840961,0.159477279853999,0.154457145055694,0.136208107565902,0.105378713940904,0.128587498095391,Prunus,Prunus,ilicifolia
Muhlenbergia rigens,150.9834962,188389.812,5.743472733,w,b,s,w-b-s,0.310986427,85.31410927,588.7197262,1740,1285.415265,13329.2547,rcp45,climate_change,2085,30403.2343366625,20765.4607494654,2216.39578314269,1513.80208863603,-0.316998299604431,0.316998299604431,3.10904345308636,3.2405492482826,0.519713979682238,0.654708729723076,0.742434496717071,0.697564725874962,0.610793727570666,0.981196535134799,0.5696864052937,0.64937162286679,Muhlenbergia,Muhlenbergia,rigens
Asclepias eriocarpa,230.8774509,199277.2424,4.464462057,w,b,l,w-b-l,0.319751218,64.30031817,573.7434551,2004,1074.871131,13671.3015,rcp45,climate_change,2085,40885.3610404772,36917.5031789985,2980.54281985079,2691.28598174899,-0.0970483752742339,0.0970483752742339,3.0313563987163,3.30189771719521,-0.398429961364231,-0.139037136066911,0.124735723322647,-0.134491209252701,-0.0858435129707735,0.233327854002553,-0.144103214287511,-0.093945271998636,Asclepias,Asclepias,eriocarpa
